Job Title,count
Data Engineer,1307
Data Scientist,1243
Data Analyst,910
Machine Learning Engineer,629
Analytics Engineer,246
Research Scientist,206
Data Architect,176
Research Engineer,136
ML Engineer,113
Applied Scientist,97
